2025-11-05 00:50:01.627 | WARNING  | routers.trends:trending:47 - Error classifying paper SUSTAINABLE Platform: Seamless Smart Farming Integration Towards Agronomy Automation: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:01.777 | WARNING  | routers.trends:trending:47 - Error classifying paper Causal Masking on Spatial Data: An Information-Theoretic Case for Learning Spatial Datasets with Unimodal Language Models: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:01.927 | WARNING  | routers.trends:trending:47 - Error classifying paper e1: Learning Adaptive Control of Reasoning Effort: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:02.087 | WARNING  | routers.trends:trending:47 - Error classifying paper Adaptive Data Flywheel: Applying MAPE Control Loops to AI Agent Improvement: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:02.227 | WARNING  | routers.trends:trending:47 - Error classifying paper CombiGraph-Vis: A Curated Multimodal Olympiad Benchmark for Discrete Mathematical Reasoning: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:02.358 | WARNING  | routers.trends:trending:47 - Error classifying paper Glia: A Human-Inspired AI for Automated Systems Design and Optimization: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:12.617 | INFO     | routers.trends:trending:17 - Fetching trending papers: category=cs.AI, limit=13
2025-11-05 00:50:14.098 | INFO     | services.arxiv_service:fetch_trending:41 - Fetched 13 papers from arXiv
2025-11-05 00:50:14.323 | WARNING  | routers.trends:trending:47 - Error classifying paper CATArena: Evaluation of LLM Agents through Iterative Tournament Competitions: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:50:14.788 | WARNING  | routers.trends:trending:47 - Error classifying paper Inverse Knowledge Search over Verifiable Reasoning: Synthesizing a Scientific Encyclopedia from a Long Chains-of-Thought Knowledge Base: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
